,date,open,high,low,close,volume,average,barCount
0,2022-08-31 09:30:00,4004.0,4004.25,4002.0,4002.25,1067.0,4003.1,438
1,2022-08-31 09:30:05,4002.5,4004.75,4002.25,4004.5,722.0,4003.6,232
2,2022-08-31 09:30:10,4004.5,4004.75,4002.5,4002.5,734.0,4003.4,176
3,2022-08-31 09:30:15,4002.25,4003.5,4001.75,4002.75,569.0,4002.55,188
4,2022-08-31 09:30:20,4003.0,4003.25,4002.25,4002.5,386.0,4002.875,133
5,2022-08-31 09:30:25,4002.5,4002.5,4001.25,4001.5,328.0,4001.85,137
6,2022-08-31 09:30:30,4001.5,4002.25,4000.5,4001.25,394.0,4001.25,178
7,2022-08-31 09:30:35,4001.25,4002.5,4000.75,4001.5,429.0,4001.7,184
8,2022-08-31 09:30:40,4001.25,4002.25,4001.0,4001.5,305.0,4001.45,123
9,2022-08-31 09:30:45,4001.5,4002.5,3999.75,3999.75,683.0,4000.75,236
10,2022-08-31 09:30:50,3999.5,3999.5,3996.75,3997.0,1429.0,3998.325,466
11,2022-08-31 09:30:55,3997.0,3998.25,3996.25,3997.75,729.0,3997.325,288
12,2022-08-31 09:31:00,3998.0,4000.0,3997.5,3997.5,875.0,3998.575,337
13,2022-08-31 09:31:05,3997.75,3998.25,3996.5,3996.75,626.0,3997.425,218
14,2022-08-31 09:31:10,3996.5,3997.75,3996.25,3997.5,572.0,3996.95,229
15,2022-08-31 09:31:15,3997.5,3997.75,3996.25,3997.25,412.0,3997.225,145
16,2022-08-31 09:31:20,3997.0,3997.75,3997.0,3997.0,357.0,3997.3,152
17,2022-08-31 09:31:25,3997.0,3998.5,3997.0,3998.5,533.0,3997.85,179
18,2022-08-31 09:31:30,3998.5,3999.75,3998.0,3999.25,484.0,3998.9,194
19,2022-08-31 09:31:35,3999.25,4000.0,3998.0,3998.25,492.0,3999.15,199
20,2022-08-31 09:31:40,3998.25,3998.5,3997.0,3997.5,510.0,3997.8,180
21,2022-08-31 09:31:45,3997.25,3998.25,3996.5,3996.75,260.0,3997.4,122
22,2022-08-31 09:31:50,3996.5,3996.75,3995.25,3996.25,811.0,3995.925,286
23,2022-08-31 09:31:55,3996.5,3998.5,3996.0,3998.25,456.0,3997.2,222
24,2022-08-31 09:32:00,3998.0,3999.0,3996.5,3996.75,449.0,3997.925,193
25,2022-08-31 09:32:05,3997.0,3997.0,3995.5,3995.5,450.0,3995.9,189
26,2022-08-31 09:32:10,3995.75,3996.0,3993.75,3995.5,1100.0,3994.875,419
27,2022-08-31 09:32:15,3995.5,3996.75,3994.75,3996.0,504.0,3995.75,191
28,2022-08-31 09:32:20,3996.0,3996.75,3995.25,3996.5,319.0,3996.125,128
29,2022-08-31 09:32:25,3996.75,3996.75,3995.75,3996.25,228.0,3996.125,113
30,2022-08-31 09:32:30,3996.25,3997.25,3995.0,3995.0,417.0,3996.175,167
31,2022-08-31 09:32:35,3995.0,3995.25,3993.5,3993.75,368.0,3994.475,160
32,2022-08-31 09:32:40,3993.5,3994.25,3993.0,3993.5,531.0,3993.65,233
33,2022-08-31 09:32:45,3993.75,3994.75,3993.25,3993.25,411.0,3994.05,130
34,2022-08-31 09:32:50,3993.0,3993.75,3991.5,3993.75,975.0,3992.35,323
35,2022-08-31 09:32:55,3993.5,3993.75,3993.0,3993.25,311.0,3993.275,121
36,2022-08-31 09:33:00,3993.25,3994.0,3992.25,3993.25,588.0,3993.175,171
37,2022-08-31 09:33:05,3993.5,3994.0,3991.5,3991.75,539.0,3992.8,222
38,2022-08-31 09:33:10,3992.0,3992.0,3991.0,3991.25,503.0,3991.4,199
39,2022-08-31 09:33:15,3991.25,3993.0,3991.0,3992.25,544.0,3991.85,210
40,2022-08-31 09:33:20,3992.25,3993.5,3992.25,3992.5,359.0,3992.875,141
41,2022-08-31 09:33:25,3992.5,3993.0,3992.25,3993.0,227.0,3992.5,69
42,2022-08-31 09:33:30,3992.75,3993.0,3991.75,3991.75,352.0,3992.5,98
43,2022-08-31 09:33:35,3992.0,3992.75,3991.5,3992.25,326.0,3992.15,114
44,2022-08-31 09:33:40,3992.25,3992.25,3991.25,3991.25,229.0,3991.85,89
45,2022-08-31 09:33:45,3991.25,3992.75,3991.25,3992.5,330.0,3992.15,88
46,2022-08-31 09:33:50,3992.5,3994.0,3992.5,3992.75,424.0,3993.55,171
47,2022-08-31 09:33:55,3992.75,3994.5,3992.5,3994.5,370.0,3993.725,164
48,2022-08-31 09:34:00,3994.5,3994.5,3992.5,3993.25,866.0,3993.575,204
49,2022-08-31 09:34:05,3993.25,3993.5,3991.75,3992.0,344.0,3992.625,154
50,2022-08-31 09:34:10,3992.0,3992.25,3991.0,3991.75,495.0,3991.55,175
51,2022-08-31 09:34:15,3991.75,3992.0,3990.75,3991.5,462.0,3991.325,179
52,2022-08-31 09:34:20,3991.5,3992.75,3991.25,3992.5,293.0,3991.95,124
53,2022-08-31 09:34:25,3992.5,3993.75,3992.25,3993.0,380.0,3993.2,157
54,2022-08-31 09:34:30,3993.0,3993.75,3992.25,3992.5,344.0,3993.125,118
55,2022-08-31 09:34:35,3992.5,3994.25,3992.0,3994.0,371.0,3993.575,136
56,2022-08-31 09:34:40,3994.0,3994.0,3992.5,3992.75,296.0,3993.175,102
57,2022-08-31 09:34:45,3992.75,3994.25,3992.5,3993.25,286.0,3993.325,100
58,2022-08-31 09:34:50,3993.25,3993.5,3991.75,3992.0,244.0,3992.35,102
59,2022-08-31 09:34:55,3992.0,3992.5,3991.0,3991.0,399.0,3991.825,152
60,2022-08-31 09:35:00,3991.0,3991.0,3989.25,3990.5,1540.0,3990.225,549
61,2022-08-31 09:35:05,3990.75,3991.25,3989.0,3989.25,727.0,3990.225,251
62,2022-08-31 09:35:10,3989.25,3989.75,3987.75,3988.75,857.0,3988.625,307
63,2022-08-31 09:35:15,3988.75,3989.0,3988.25,3988.75,561.0,3988.75,160
